time,message,message_id,channel_id,search_term,link
2023-09-25 20:31:26+00:00,"בגדול ברוסיה/אוקראינה זה לחורף כי רוב הזמן
Chill af",94361,1351412444,.af,https://t.me/c/1351412444/94361
2023-07-18 15:36:50+00:00,"ההאקר שפרץ ל-Uber ול-Rockstar Games התברר כאוטיסט 🤔

אריון קורטג', חבר בקבוצת Lapsus שהואשם בביצוע מספר עבירות סייבר וסחיטה, הוכר כאוטיסט בבית המשפט.

קצת היסטוריה:
ההאקר השיג גישה למידע של כ-5,000 לקוחות Revolut, גרם לנזק של כמעט 3 מיליון דולר ל-Uber, פרץ ל-Rockstar Games ואיים לשחרר את קוד המקור להמשך המתוכנן של Grand Theft Auto, סחט ​​ספקית בריטית BT Group ומפעילת הסלולר EE, פרץ ל-Nvidia ודרש תשלום על אי פרסום הנתונים שאליהם קיבל גישה ועוד...

בסך הכל, הוא מואשם בביצוע 12 עבירות. 
אבל, לאור האבחנה, יכול להיות שבכלל לא יכנס לכלא... 😅

@TermuxIsrael2 #News",84744,1351412444,.bt,https://t.me/c/1351412444/84744
2023-07-12 18:25:51+00:00,"לטובת מי שאיכשהו פספס: 

הותר לפרסום שמו של אריון קורטג', חבר הקבוצה $Lapsus
 
הצעיר בן ה-18 חשוד בתקיפות סייבר למול Uber, Rockstar Games ו-Nvidia

הוא מואשם ב-12 עבירות, כולל שלוש סעיפי סחיטה, שני סעיפי הונאה ושישה אישומים של שימוש לרעה במחשב. 
אם כי לפי אנשי מקצוע רפואיים הוא נחשב לא כשיר לעמוד לדין ולא יעלה למשפט. 
 
יחד עם קורטג' עמד למשפט צעיר נוסף, בן 17, ששמו לא הותר לפרסום.
גם הוא עם לא פחות כתבי אישום, כולם קשורים (לכאורה) לפעילות של Lapsus$ המכוונות ל-BT ו-Nvidia.

@TermuxIsrael2 #News",84031,1351412444,.bt,https://t.me/c/1351412444/84031
2023-10-29 15:53:19+00:00,דרך אגב הוא עובד עם חסימות לפי id? ידוע לך?,107796,1351412444,.id,https://t.me/c/1351412444/107796
2023-10-28 19:51:17+00:00,"Report racist  put in blacklist 🇮🇱🐀 bastards rats pig nasty jew israhell satanist isis accounts channels and bots

@blockarabbot
ID: 6988445369
ID: 5573155010
ID: 5212860031
@NameFilterBot
ID: 761612286
@noarab_bot
ID: 508195817
@MonitorGroupbot
ID: 1753901093
@ArabicBannerBot
ID: 2023945449
@HaMadbirK300
ID: 624555458
@Ghostnet94
ID: 5123578797
@Weedgrin
ID: 6006323205
@TFSJewsShareCenterbot
ID: 1290315286
ID: 5950763413
ID: 5053928472
@BlockChannelBot
ID: 1158074240
@pheanordev
ID: 841840548
@pheanorsupport
ID: 1471959015
@pheanorsupportbot
ID: 994991945
ID: 942416754
@Yishaicohen
ID: 1753901093
@ArabicBannerBot
ID: 1680968627
@Biobanner_bot
ID: 5062779674
ID: 1779211705
@Sulaiman123456
ID: 490377706
ID: 404013617
@shiiinabot
ID: 5138791779
ID: 1868038257
@JewsShabatBot
ID: 1404383109
@JewishBots
ID: 1968496798
@GorillaGlue7
ID: 1511735397
ID: 1868038257
@JewsShabatBot
ID: 1342804449
ID: 1209792563
@discussions_t
ID: 1694378577
@dead_terrorists
ID: 5407134311
@Demon_yoss_bot",107632,1351412444,.id,https://t.me/c/1351412444/107632
2023-10-27 13:28:33+00:00,"חברים מישהו יודע איך אפשר לדעת מי הבעלים של ערוץ? מי הקים אותו ? 

ניק שלו או id",107418,1351412444,.id,https://t.me/c/1351412444/107418
2023-10-25 09:35:37+00:00,https://m.facebook.com/story.php?story_fbid=pfbid02wkJn57vvWBhEjkV6tfUfdPGW9dV6C2szSoUmdSNBsthY3a3nVVy1FgiCS8dSrUP9l&id=100044550484300&mibextid=qC1gEa,106826,1351412444,.id,https://t.me/c/1351412444/106826
2023-10-18 10:11:21+00:00,מישהו מכיר בוט שאפשר לדעת לפי מספר id של יוזר באיזה קבוצות הוא נמצא,104948,1351412444,.id,https://t.me/c/1351412444/104948
2023-10-18 06:30:54+00:00,"https://m.facebook.com/story.php?story_fbid=pfbid0TJ94Sv2ZiXXcWH6waXPCtsdL6gkUShVADZfkx1PFseogrDPQfmsqNhfE56gs4gswl&id=555814907&mibextid=Nif5oz
חברים, הדס רגולסקי מנהלת עמוד פייסבוק בו היא מתעדת את חייהם וסיפורי הגבורה של הנרצחים בעוטף עזה.
הדף מותקף כל הזמן על ידי תומכי החמאס, מחפשים דרכים לעזור לה. כרגע הוא חסום לתגובות אבל זה חבל כי רבים רוצים להגיב ולכתוב מילים חמות.",104903,1351412444,.id,https://t.me/c/1351412444/104903
2023-10-17 18:15:24+00:00,"Hits - 1 Results Shown
701ecaaf-2423-48bf-8449-f87473c44ba9 - (Visualize) notes: Country: Israele phoneNumbers: 972599601015 links: https://m.facebook.com/profile.php?id=100012073569330 firstName: Basem lastName: Naim gender: male source: Facebook",104336,1351412444,.id,https://t.me/c/1351412444/104336
